emotion,dist_l,dist_r,dist_eyes,dist_mouth_nose,hght_mouth,wdth_mouth
a,74.4311762637,68.0294054068,155.012902689,71,54,205
su,78.0896920214,75.1664818919,150.003333296,115,131,178
c,78.6384130054,78.7718223732,155.0,75,66,206
h,83.0060238778,81.0246875958,143.003496461,52,73,251
n,82.1522975942,80.0,157.0,81,76,205
n,83.2165848855,86.5390085453,155.012902689,85,73,204
n,85.2877482409,89.554452709,157.012738337,82,69,201
n,89.1964124839,87.0919054792,156.012819986,84,74,197
n,83.486525859,79.0063288604,159.0,83,72,201
n,82.2982381342,79.0,158.003164525,86,64,195
n,81.1541742611,85.7962703152,156.012819986,81,78,199
n,83.486525859,79.1580697087,153.0,81,77,203
n,79.5110055275,76.1642960973,161.00310556,77,75,199
n,81.3941029805,78.1024967591,157.0,81,76,207
n,84.7584804017,77.1038261048,155.003225773,83,78,210
n,87.6641317758,87.0919054792,156.003205095,86,78,211
n,86.0232526704,87.6641317758,163.027605024,83,67,220
h,83.0060238778,88.7693640847,155.003225773,71,70,237
h,85.0529246999,89.3196506935,154.003246719,66,68,238
h,86.005813757,86.9770084563,151.003311222,54,74,251
h,46.3249392876,48.6621002424,147.013604813,54,59,250
h,49.2544414241,50.0099990002,143.01398533,49,64,257
h,85.023526156,90.6200860737,153.003267939,51,73,257
h,85.1469318296,83.0963296422,150.003333296,52,74,263
h,85.0,88.6002257333,149.013422214,48,77,267
h,83.0,81.0246875958,146.003424617,53,69,252
h,82.0243866176,81.0061726043,149.003355667,49,73,255
h,87.0057469366,91.5478017213,154.012986465,51,70,250
h,80.0562302385,85.615419172,156.012819986,74,67,228
n,79.2275204711,83.3846508657,153.003267939,81,67,209
n,79.4040301244,82.5408989532,156.003205095,79,69,207
a,76.4198926982,80.777472107,155.012902689,79,70,203
a,78.3134726596,81.3449445264,153.003267939,82,70,207
a,80.399004969,81.7067928633,151.013244452,83,65,207
a,82.2982381342,83.0060238778,155.012902689,77,66,204
a,84.5931439302,78.1024967591,159.003144623,73,64,208
