emotion,dist_l,dist_r,dist_eyes,dist_mouth_nose,hght_mouth,wdth_mouth
a,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876
su,-1.69970617083,-1.69970617083,-1.69970617083,-1.69970617083,-1.69970617083,-1.69970617083
c,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433
h,1.24684585949,1.24684585949,1.24684585949,1.24684585949,1.24684585949,1.24684585949
n,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876
n,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319
n,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647
n,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418
n,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647
n,-1.0135228213,-1.0135228213,-1.0135228213,-1.0135228213,-1.0135228213,-1.0135228213
n,-0.852067915533,-0.852067915533,-0.852067915533,-0.852067915533,-0.852067915533,-0.852067915533
n,-0.690613009762,-0.690613009762,-0.690613009762,-0.690613009762,-0.690613009762,-0.690613009762
n,-0.852067915533,-0.852067915533,-0.852067915533,-0.852067915533,-0.852067915533,-0.852067915533
n,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991
n,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663
n,-0.36770319822,-0.36770319822,-0.36770319822,-0.36770319822,-0.36770319822,-0.36770319822
n,-0.00442966023525,-0.00442966023525,-0.00442966023525,-0.00442966023525,-0.00442966023525,-0.00442966023525
h,0.681753689291,0.681753689291,0.681753689291,0.681753689291,0.681753689291,0.681753689291
h,0.722117415734,0.722117415734,0.722117415734,0.722117415734,0.722117415734,0.722117415734
h,1.24684585949,1.24684585949,1.24684585949,1.24684585949,1.24684585949,1.24684585949
h,1.20648213305,1.20648213305,1.20648213305,1.20648213305,1.20648213305,1.20648213305
h,1.48902821815,1.48902821815,1.48902821815,1.48902821815,1.48902821815,1.48902821815
h,1.48902821815,1.48902821815,1.48902821815,1.48902821815,1.48902821815,1.48902821815
h,1.7312105768,1.7312105768,1.7312105768,1.7312105768,1.7312105768,1.7312105768
h,1.89266548257,1.89266548257,1.89266548257,1.89266548257,1.89266548257,1.89266548257
h,1.28720958593,1.28720958593,1.28720958593,1.28720958593,1.28720958593,1.28720958593
h,1.40830076526,1.40830076526,1.40830076526,1.40830076526,1.40830076526,1.40830076526
h,1.20648213305,1.20648213305,1.20648213305,1.20648213305,1.20648213305,1.20648213305
h,0.318480151307,0.318480151307,0.318480151307,0.318480151307,0.318480151307,0.318480151307
n,-0.448430651105,-0.448430651105,-0.448430651105,-0.448430651105,-0.448430651105,-0.448430651105
n,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991
a,-0.690613009762,-0.690613009762,-0.690613009762,-0.690613009762,-0.690613009762,-0.690613009762
a,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991
a,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991
a,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319
a,-0.488794377548,-0.488794377548,-0.488794377548,-0.488794377548,-0.488794377548,-0.488794377548
a,-0.327339471777,-0.327339471777,-0.327339471777,-0.327339471777,-0.327339471777,-0.327339471777
a,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991
a,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663
a,-0.448430651105,-0.448430651105,-0.448430651105,-0.448430651105,-0.448430651105,-0.448430651105
a,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876
a,-0.690613009762,-0.690613009762,-0.690613009762,-0.690613009762,-0.690613009762,-0.690613009762
a,-0.81170418909,-0.81170418909,-0.81170418909,-0.81170418909,-0.81170418909,-0.81170418909
n,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876
su,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418
su,-1.05388654775,-1.05388654775,-1.05388654775,-1.05388654775,-1.05388654775,-1.05388654775
su,-1.65934244439,-1.65934244439,-1.65934244439,-1.65934244439,-1.65934244439,-1.65934244439
su,-1.53825126506,-1.53825126506,-1.53825126506,-1.53825126506,-1.53825126506,-1.53825126506
su,-1.61897871794,-1.61897871794,-1.61897871794,-1.61897871794,-1.61897871794,-1.61897871794
su,-1.65934244439,-1.65934244439,-1.65934244439,-1.65934244439,-1.65934244439,-1.65934244439
su,-1.90152480304,-1.90152480304,-1.90152480304,-1.90152480304,-1.90152480304,-1.90152480304
su,-1.74006989727,-1.74006989727,-1.74006989727,-1.74006989727,-1.74006989727,-1.74006989727
su,-2.1437071617,-2.1437071617,-2.1437071617,-2.1437071617,-2.1437071617,-2.1437071617
su,-2.1437071617,-2.1437071617,-2.1437071617,-2.1437071617,-2.1437071617,-2.1437071617
su,-1.78043362372,-1.78043362372,-1.78043362372,-1.78043362372,-1.78043362372,-1.78043362372
su,-1.94188852949,-1.94188852949,-1.94188852949,-1.94188852949,-1.94188852949,-1.94188852949
su,-1.65934244439,-1.65934244439,-1.65934244439,-1.65934244439,-1.65934244439,-1.65934244439
su,-1.5786149915,-1.5786149915,-1.5786149915,-1.5786149915,-1.5786149915,-1.5786149915
su,-1.78043362372,-1.78043362372,-1.78043362372,-1.78043362372,-1.78043362372,-1.78043362372
su,-1.8611610766,-1.8611610766,-1.8611610766,-1.8611610766,-1.8611610766,-1.8611610766
su,-1.61897871794,-1.61897871794,-1.61897871794,-1.61897871794,-1.61897871794,-1.61897871794
su,-1.2960689064,-1.2960689064,-1.2960689064,-1.2960689064,-1.2960689064,-1.2960689064
su,-1.37679635929,-1.37679635929,-1.37679635929,-1.37679635929,-1.37679635929,-1.37679635929
n,-1.05388654775,-1.05388654775,-1.05388654775,-1.05388654775,-1.05388654775,-1.05388654775
n,-1.09425027419,-1.09425027419,-1.09425027419,-1.09425027419,-1.09425027419,-1.09425027419
n,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647
sa,-0.327339471777,-0.327339471777,-0.327339471777,-0.327339471777,-0.327339471777,-0.327339471777
a,-0.36770319822,-0.36770319822,-0.36770319822,-0.36770319822,-0.36770319822,-0.36770319822
a,-0.448430651105,-0.448430651105,-0.448430651105,-0.448430651105,-0.448430651105,-0.448430651105
a,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647
sa,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876
sa,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433
sa,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663
sa,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991,-0.529158103991
sa,-0.488794377548,-0.488794377548,-0.488794377548,-0.488794377548,-0.488794377548,-0.488794377548
o,-1.25570517996,-1.25570517996,-1.25570517996,-1.25570517996,-1.25570517996,-1.25570517996
o,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319
h,0.399207604192,0.399207604192,0.399207604192,0.399207604192,0.399207604192,0.399207604192
o,0.157025245536,0.157025245536,0.157025245536,0.157025245536,0.157025245536,0.157025245536
h,0.802844868619,0.802844868619,0.802844868619,0.802844868619,0.802844868619,0.802844868619
n,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876,-0.609885556876
n,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647
n,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418
n,-0.892431641975,-0.892431641975,-0.892431641975,-0.892431641975,-0.892431641975,-0.892431641975
n,-1.13461400063,-1.13461400063,-1.13461400063,-1.13461400063,-1.13461400063,-1.13461400063
n,-1.09425027419,-1.09425027419,-1.09425027419,-1.09425027419,-1.09425027419,-1.09425027419
n,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418
o,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433
n,-0.36770319822,-0.36770319822,-0.36770319822,-0.36770319822,-0.36770319822,-0.36770319822
o,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319
o,-0.730976736204,-0.730976736204,-0.730976736204,-0.730976736204,-0.730976736204,-0.730976736204
o,-0.730976736204,-0.730976736204,-0.730976736204,-0.730976736204,-0.730976736204,-0.730976736204
o,-0.852067915533,-0.852067915533,-0.852067915533,-0.852067915533,-0.852067915533,-0.852067915533
n,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647,-0.771340462647
n,-0.892431641975,-0.892431641975,-0.892431641975,-0.892431641975,-0.892431641975,-0.892431641975
n,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418
n,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418
n,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418
n,-0.730976736204,-0.730976736204,-0.730976736204,-0.730976736204,-0.730976736204,-0.730976736204
n,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663
n,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433
n,-0.81170418909,-0.81170418909,-0.81170418909,-0.81170418909,-0.81170418909,-0.81170418909
o,-1.69970617083,-1.69970617083,-1.69970617083,-1.69970617083,-1.69970617083,-1.69970617083
o,-1.45752381217,-1.45752381217,-1.45752381217,-1.45752381217,-1.45752381217,-1.45752381217
o,-1.45752381217,-1.45752381217,-1.45752381217,-1.45752381217,-1.45752381217,-1.45752381217
o,-1.61897871794,-1.61897871794,-1.61897871794,-1.61897871794,-1.61897871794,-1.61897871794
o,-1.65934244439,-1.65934244439,-1.65934244439,-1.65934244439,-1.65934244439,-1.65934244439
o,-1.65934244439,-1.65934244439,-1.65934244439,-1.65934244439,-1.65934244439,-1.65934244439
o,-2.02261598237,-2.02261598237,-2.02261598237,-2.02261598237,-2.02261598237,-2.02261598237
o,-2.06297970881,-2.06297970881,-2.06297970881,-2.06297970881,-2.06297970881,-2.06297970881
n,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433
o,-2.18407088814,-2.18407088814,-2.18407088814,-2.18407088814,-2.18407088814,-2.18407088814
o,-1.90152480304,-1.90152480304,-1.90152480304,-1.90152480304,-1.90152480304,-1.90152480304
n,-1.8611610766,-1.8611610766,-1.8611610766,-1.8611610766,-1.8611610766,-1.8611610766
n,-2.22443461459,-2.22443461459,-2.22443461459,-2.22443461459,-2.22443461459,-2.22443461459
o,-1.53825126506,-1.53825126506,-1.53825126506,-1.53825126506,-1.53825126506,-1.53825126506
o,-1.21534145352,-1.21534145352,-1.21534145352,-1.21534145352,-1.21534145352,-1.21534145352
o,-1.17497772707,-1.17497772707,-1.17497772707,-1.17497772707,-1.17497772707,-1.17497772707
n,-0.488794377548,-0.488794377548,-0.488794377548,-0.488794377548,-0.488794377548,-0.488794377548
o,-1.41716008573,-1.41716008573,-1.41716008573,-1.41716008573,-1.41716008573,-1.41716008573
o,-1.5786149915,-1.5786149915,-1.5786149915,-1.5786149915,-1.5786149915,-1.5786149915
o,-1.25570517996,-1.25570517996,-1.25570517996,-1.25570517996,-1.25570517996,-1.25570517996
n,-0.448430651105,-0.448430651105,-0.448430651105,-0.448430651105,-0.448430651105,-0.448430651105
n,-0.125520839563,-0.125520839563,-0.125520839563,-0.125520839563,-0.125520839563,-0.125520839563
n,-0.286975745334,-0.286975745334,-0.286975745334,-0.286975745334,-0.286975745334,-0.286975745334
h,-0.0851571131207,-0.0851571131207,-0.0851571131207,-0.0851571131207,-0.0851571131207,-0.0851571131207
h,0.278116424864,0.278116424864,0.278116424864,0.278116424864,0.278116424864,0.278116424864
h,0.802844868619,0.802844868619,0.802844868619,0.802844868619,0.802844868619,0.802844868619
h,0.96429977439,0.96429977439,0.96429977439,0.96429977439,0.96429977439,0.96429977439
h,0.802844868619,0.802844868619,0.802844868619,0.802844868619,0.802844868619,0.802844868619
o,0.601026236406,0.601026236406,0.601026236406,0.601026236406,0.601026236406,0.601026236406
o,-0.044793386678,-0.044793386678,-0.044793386678,-0.044793386678,-0.044793386678,-0.044793386678
o,-0.125520839563,-0.125520839563,-0.125520839563,-0.125520839563,-0.125520839563,-0.125520839563
o,-0.125520839563,-0.125520839563,-0.125520839563,-0.125520839563,-0.125520839563,-0.125520839563
o,-1.53825126506,-1.53825126506,-1.53825126506,-1.53825126506,-1.53825126506,-1.53825126506
o,-1.5786149915,-1.5786149915,-1.5786149915,-1.5786149915,-1.5786149915,-1.5786149915
o,-0.448430651105,-0.448430651105,-0.448430651105,-0.448430651105,-0.448430651105,-0.448430651105
o,-2.02261598237,-2.02261598237,-2.02261598237,-2.02261598237,-2.02261598237,-2.02261598237
o,-0.973159094861,-0.973159094861,-0.973159094861,-0.973159094861,-0.973159094861,-0.973159094861
o,-0.973159094861,-0.973159094861,-0.973159094861,-0.973159094861,-0.973159094861,-0.973159094861
o,-1.69970617083,-1.69970617083,-1.69970617083,-1.69970617083,-1.69970617083,-1.69970617083
o,-1.2960689064,-1.2960689064,-1.2960689064,-1.2960689064,-1.2960689064,-1.2960689064
o,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418,-0.932795368418
o,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319
h,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319,-0.650249283319
h,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433,-0.569521830433
h,-0.730976736204,-0.730976736204,-0.730976736204,-0.730976736204,-0.730976736204,-0.730976736204
o,-0.488794377548,-0.488794377548,-0.488794377548,-0.488794377548,-0.488794377548,-0.488794377548
o,-0.246612018892,-0.246612018892,-0.246612018892,-0.246612018892,-0.246612018892,-0.246612018892
h,0.399207604192,0.399207604192,0.399207604192,0.399207604192,0.399207604192,0.399207604192
su,-0.36770319822,-0.36770319822,-0.36770319822,-0.36770319822,-0.36770319822,-0.36770319822
n,0.116661519093,0.116661519093,0.116661519093,0.116661519093,0.116661519093,0.116661519093
n,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663,-0.408066924663
h,1.69084685036,1.69084685036,1.69084685036,1.69084685036,1.69084685036,1.69084685036
n,-0.246612018892,-0.246612018892,-0.246612018892,-0.246612018892,-0.246612018892,-0.246612018892
h,0.278116424864,0.278116424864,0.278116424864,0.278116424864,0.278116424864,0.278116424864
h,0.116661519093,0.116661519093,0.116661519093,0.116661519093,0.116661519093,0.116661519093
h,0.358843877749,0.358843877749,0.358843877749,0.358843877749,0.358843877749,0.358843877749
